fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
29051,393.8,1.7,2.0,3.2,3.9,4.4,4.1,3.6,3.5,3.9,3.4,3.5,2.5
29053,564.8,1.5,1.8,3.0,3.9,4.4,4.3,3.8,3.6,4.1,3.4,3.2,2.2
29055,742.5,2.1,2.3,3.6,4.1,4.5,4.1,3.8,3.6,3.6,3.3,4.1,3.0
29057,490.0,1.8,2.1,3.6,4.2,4.1,4.9,3.5,3.7,4.8,3.9,4.0,2.8
29059,540.8,1.8,2.1,3.6,4.2,4.5,4.3,3.5,3.3,4.6,3.8,4.0,2.8
29061,563.2,1.1,1.2,2.5,3.6,4.1,4.2,4.4,4.0,4.5,3.2,2.4,1.6
29063,421.4,1.1,1.2,2.5,3.5,4.2,4.3,4.4,3.8,4.6,3.1,2.5,1.5
29065,752.8,2.2,2.4,4.0,4.3,4.2,4.1,4.0,3.7,3.8,3.5,4.3,3.3
29067,813.6,2.3,2.5,4.0,4.3,4.4,4.3,3.5,3.1,4.4,3.7,4.5,3.3
29069,541.1,3.3,3.6,4.8,5.0,4.9,4.1,3.8,3.1,3.4,3.6,4.9,4.5
29071,922.7,2.0,2.2,3.6,4.0,3.9,4.1,3.7,3.5,3.6,3.2,3.8,2.9
29073,517.8,1.9,2.1,3.5,4.0,4.5,4.2,3.6,3.6,3.9,3.3,3.8,2.8
29075,491.4,1.0,1.1,2.4,3.4,4.1,4.2,4.5,4.0,4.6,3.0,2.4,1.4
29077,675.3,1.9,2.1,3.8,4.3,4.3,4.8,3.6,3.4,4.7,3.7,4.2,3.0
29079,435.3,1.1,1.1,2.4,3.5,3.8,4.1,4.6,4.1,4.3,3.1,2.5,1.6
29081,722.5,1.0,1.1,2.4,3.5,4.0,4.2,4.6,4.2,4.4,3.1,2.4,1.4
29083,697.0,1.5,1.9,3.2,4.2,4.9,4.8,3.8,3.7,4.4,3.3,3.5,2.2
29085,399.1,1.7,2.0,3.4,4.1,4.6,4.4,3.5,3.5,4.5,3.5,3.8,2.5
29087,462.7,0.8,1.1,2.4,3.4,4.2,4.4,4.8,4.0,4.5,2.8,2.4,1.2
29089,463.9,1.5,1.7,2.9,4.0,4.8,4.3,3.7,3.7,4.2,3.3,3.2,2.2
29091,927.2,2.5,2.8,4.3,4.4,4.7,4.1,3.4,3.2,4.0,3.2,4.8,3.7
29093,550.3,2.5,2.7,4.2,4.5,4.6,4.2,4.0,3.7,3.6,3.4,4.6,3.6
29095,604.5,1.3,1.3,2.7,3.7,4.4,4.9,4.0,3.8,4.9,3.5,2.7,1.9
29097,638.5,1.7,2.1,3.7,4.3,4.7,5.2,3.5,3.6,5.2,3.8,4.0,2.7
29099,656.6,2.2,2.4,3.7,4.1,4.0,3.9,3.6,3.5,3.3,3.0,4.0,3.1
