County,County Code,Day of Year,Day of Year Code,Avg Daily Max Air Temperature (F),Record Count for Daily Max Air Temp (F),Min Temp for Daily Max Air Temp (F),Max Temp for Daily Max Air Temp (F),Avg Daily Min Air Temperature (F),Record Count for Daily Min Air Temp (F),Min Temp for Daily Min Air Temp (F),Max Temp for Daily Min Air Temp (F)
"District of Columbia, DC",11001,297,297,63.28,33,48.60,82.60,45.70,33,34.30,61.50
"District of Columbia, DC",11001,298,298,60.85,33,47.10,77.10,44.21,33,35.40,57.80
"District of Columbia, DC",11001,299,299,61.45,33,46.80,76.20,46.25,33,33.90,58.90
"District of Columbia, DC",11001,300,300,62.76,33,46.10,79.50,45.50,33,30.30,65.40
"District of Columbia, DC",11001,301,301,61.02,33,47.40,79.80,44.09,33,34.30,61.90
"District of Columbia, DC",11001,302,302,59.64,33,43.30,80.60,41.30,33,30.30,60.70
"District of Columbia, DC",11001,303,303,60.18,33,44.10,77.70,40.67,33,29.60,63.10
"District of Columbia, DC",11001,304,304,62.75,33,48.40,78.10,43.51,33,30.10,58.80
"District of Columbia, DC",11001,305,305,63.22,33,44.50,77.80,44.05,33,28.50,55.90
"District of Columbia, DC",11001,306,306,61.59,33,47.20,78.30,44.95,33,30.10,60.10
"District of Columbia, DC",11001,307,307,59.87,33,42.90,76.50,41.99,33,29.40,56.90
"District of Columbia, DC",11001,308,308,57.92,33,38.00,76.30,40.12,33,29.30,57.60
"District of Columbia, DC",11001,309,309,57.24,33,40.50,77.70,40.69,33,24.80,61.40
"District of Columbia, DC",11001,310,310,57.12,33,45.30,74.10,40.63,33,25.40,62.10
"District of Columbia, DC",11001,311,311,55.55,33,43.90,67.00,38.92,33,29.20,55.80
"District of Columbia, DC",11001,312,312,57.65,33,43.40,71.30,40.29,33,29.50,58.60
"District of Columbia, DC",11001,313,313,58.70,33,38.80,73.90,41.25,33,27.10,54.50
"District of Columbia, DC",11001,314,314,57.23,33,41.10,73.90,40.97,33,30.10,55.70
"District of Columbia, DC",11001,315,315,54.99,33,33.60,72.70,39.31,33,29.60,59.40
"District of Columbia, DC",11001,316,316,53.20,33,37.40,70.20,37.98,33,20.30,52.70
"District of Columbia, DC",11001,317,317,53.20,33,38.00,69.50,37.17,33,26.00,54.90
"District of Columbia, DC",11001,318,318,56.67,33,35.20,76.50,38.75,33,24.70,56.90
"District of Columbia, DC",11001,319,319,56.65,33,35.20,77.60,40.18,33,25.20,61.80
"District of Columbia, DC",11001,320,320,55.65,33,37.60,72.60,39.91,33,27.20,54.50
"District of Columbia, DC",11001,321,321,52.98,33,37.80,71.40,37.15,33,25.70,49.00
"District of Columbia, DC",11001,322,322,52.05,33,38.40,67.20,35.87,33,26.70,52.70
"District of Columbia, DC",11001,323,323,53.22,33,38.20,72.90,37.68,33,27.20,52.70
"District of Columbia, DC",11001,324,324,54.95,33,36.90,76.80,38.46,33,26.40,57.80
"District of Columbia, DC",11001,325,325,53.25,33,31.50,69.60,38.40,33,25.60,58.40
"District of Columbia, DC",11001,326,326,52.64,33,34.60,74.10,37.95,33,23.60,60.90
"District of Columbia, DC",11001,327,327,51.95,33,30.80,70.60,37.00,33,19.50,55.30
"District of Columbia, DC",11001,328,328,52.22,33,32.90,71.40,35.87,33,20.70,54.90
"District of Columbia, DC",11001,329,329,51.01,33,33.20,70.80,35.88,33,22.70,58.70
"District of Columbia, DC",11001,330,330,54.05,33,36.20,68.60,37.06,33,23.90,56.30
"District of Columbia, DC",11001,331,331,54.06,33,40.70,65.80,37.31,33,25.80,54.80
"District of Columbia, DC",11001,332,332,54.64,33,36.00,73.10,38.88,33,28.40,54.50
"District of Columbia, DC",11001,333,333,53.48,33,36.00,70.10,37.69,33,25.50,57.80
"District of Columbia, DC",11001,334,334,49.83,33,36.90,71.20,35.96,33,26.10,57.40
"District of Columbia, DC",11001,335,335,48.75,33,32.40,70.70,34.38,33,23.80,55.50
"District of Columbia, DC",11001,336,336,49.18,33,36.80,62.10,33.90,33,22.10,49.00
"District of Columbia, DC",11001,337,337,48.61,33,34.80,67.30,33.71,33,20.70,48.30
"District of Columbia, DC",11001,338,338,48.13,33,27.90,71.20,33.90,33,19.10,55.70
"District of Columbia, DC",11001,339,339,46.50,33,30.50,73.70,33.80,33,18.70,57.70
"District of Columbia, DC",11001,340,340,46.31,33,30.90,74.90,33.04,33,19.10,54.50
"District of Columbia, DC",11001,341,341,45.55,33,31.40,67.40,31.34,33,13.80,53.90
"District of Columbia, DC",11001,342,342,43.91,33,28.20,61.30,31.84,33,19.00,52.30
"District of Columbia, DC",11001,343,343,44.97,33,26.00,70.00,31.57,33,16.00,49.00
"District of Columbia, DC",11001,344,344,45.12,33,26.50,59.80,31.73,33,13.40,49.10
"District of Columbia, DC",11001,345,345,44.97,33,21.20,63.60,32.67,33,11.60,50.60
"District of Columbia, DC",11001,346,346,45.33,33,27.20,61.80,32.97,33,16.70,48.80
"District of Columbia, DC",11001,347,347,43.73,33,21.60,62.30,32.10,33,13.30,49.30
"District of Columbia, DC",11001,348,348,43.42,33,26.60,65.70,31.07,33,11.50,53.20
"District of Columbia, DC",11001,349,349,44.16,33,30.30,59.50,31.79,33,19.60,48.40
"District of Columbia, DC",11001,350,350,44.30,33,25.20,64.60,31.40,33,12.80,48.30
"District of Columbia, DC",11001,351,351,42.42,33,21.10,59.20,30.07,33,9.80,46.10
"District of Columbia, DC",11001,352,352,42.24,33,22.50,68.60,30.08,33,13.80,46.80
"District of Columbia, DC",11001,353,353,41.66,33,25.80,67.30,29.32,33,13.90,51.20
"District of Columbia, DC",11001,354,354,41.73,33,23.40,60.80,29.45,33,13.70,46.80
"District of Columbia, DC",11001,355,355,40.88,33,22.10,61.40,27.92,33,11.20,43.70
"District of Columbia, DC",11001,356,356,41.44,33,14.90,69.50,28.62,33,4.70,50.70
"District of Columbia, DC",11001,357,357,44.03,33,17.50,66.50,30.08,33,6.90,57.50
"District of Columbia, DC",11001,358,358,42.71,33,19.30,61.40,28.85,33,0.80,46.40
"District of Columbia, DC",11001,359,359,41.91,33,9.10,66.00,28.62,33,0.00,44.70
"District of Columbia, DC",11001,360,360,40.09,33,17.70,61.60,27.18,33,3.20,46.50
"District of Columbia, DC",11001,361,361,38.45,33,23.40,50.60,26.67,33,8.30,42.70
"District of Columbia, DC",11001,362,362,40.79,33,27.30,64.20,29.33,33,21.10,44.40
"District of Columbia, DC",11001,363,363,43.77,33,27.70,68.80,30.49,33,18.60,46.00
"District of Columbia, DC",11001,364,364,42.23,33,21.90,72.00,28.98,33,12.20,48.20
"District of Columbia, DC",11001,365,365,43.27,33,25.60,58.10,30.08,33,8.80,47.70
"District of Columbia, DC",11001,366,366,48.46,8,31.80,68.60,34.84,8,20.20,49.20
